onet_soc_code,canonical_title,description,matched_target_families,top_skills,top_technology_examples
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",,judgment and decision making (4.12) | management of personnel resources (4.12) | active listening (4.00) | complex problem solving (4.00) | coordination (4.00) | critical thinking (4.00) | time management (4.00) | active learning (3.88) | monitoring (3.88) | negotiation (3.88) | reading comprehension (3.88) | speaking (3.88),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft project | microsoft word | procore software | adobe acrobat | adobe creative cloud software | autodesk autocad | autodesk autocad civil 3d | autodesk revit | google docs | microsoft access | microsoft sharepoint
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",,active listening (4.00) | coordination (4.00) | critical thinking (4.00) | monitoring (4.00) | reading comprehension (4.00) | speaking (4.00) | complex problem solving (3.88) | instructing (3.88) | judgment and decision making (3.88) | service orientation (3.88) | social perceptiveness (3.88) | management of personnel resources (3.75),microsoft office software | intuit quickbooks | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft word | acs technologies headmaster | auburn software debit square | b and i computer consultants childcare sage | bloomz | cirrus group daycare works | echurch com schoolperfect | emerging technologies office center | groupme | jackrabbit technologies jackrabbit care
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",,speaking (4.88) | active listening (4.75) | judgment and decision making (4.62) | learning strategies (4.62) | critical thinking (4.50) | reading comprehension (4.50) | writing (4.50) | monitoring (4.25) | social perceptiveness (4.25) | complex problem solving (4.12) | management of personnel resources (4.12) | systems evaluation (4.12),microsoft excel | microsoft office software | apache cassandra | ibm spss statistics | microsoft access | microsoft outlook | microsoft powerpoint | microsoft sharepoint | microsoft word | sas | the mathworks matlab | student information systems sis software | acs technologies headmaster | attendance tracking software | blackbaud the education edge
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",,critical thinking (4.12) | reading comprehension (4.12) | active listening (4.00) | instructing (4.00) | monitoring (4.00) | speaking (4.00) | time management (4.00) | writing (4.00) | active learning (3.88) | complex problem solving (3.88) | judgment and decision making (3.88) | learning strategies (3.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | facebook | google docs | hypertext markup language html | ibm spss statistics | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft word | oracle peoplesoft | sap software
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,,,
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",engineering_data_platform,reading comprehension (4.12) | active listening (4.00) | complex problem solving (4.00) | speaking (4.00) | writing (4.00) | active learning (3.88) | critical thinking (3.88) | judgment and decision making (3.88) | mathematics (3.88) | time management (3.88) | coordination (3.75) | monitoring (3.75),autodesk autocad | microsoft excel | microsoft office software | microsoft powerpoint | amazon dynamodb | amazon elastic compute cloud ec2 | amazon redshift | amazon web services aws software | ansible software | apache cassandra | apache hadoop | apache hive | apache kafka | apache maven | apple macos
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",,complex problem solving (3.62) | critical thinking (3.62) | judgment and decision making (3.62) | reading comprehension (3.62) | speaking (3.62) | systems analysis (3.62) | writing (3.62) | active listening (3.50) | systems evaluation (3.50) | active learning (3.25) | coordination (3.25) | monitoring (3.25),adobe illustrator | epic systems | linux | microsoft excel | microsoft office software | microsoft powerpoint | microsoft project | microsoft sql server | microsoft sql server integration services ssis | microsoft sql server reporting services ssrs | microsoft visio | microsoft word | oracle java | oracle primavera enterprise project portfolio management | perl
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",,active listening (3.88) | coordination (3.88) | management of personnel resources (3.88) | monitoring (3.88) | speaking (3.88) | reading comprehension (3.75) | service orientation (3.75) | critical thinking (3.62) | social perceptiveness (3.62) | time management (3.50) | active learning (3.12) | instructing (3.12),microsoft office software | facebook | google docs | intuit quickbooks | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft project | microsoft word | aestiva employee time clock | apache groovy | army food management information system | aurora foodpro | chefdesk chef s calculators | clubsoft food and beverage point of sale
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",,critical thinking (4.00) | management of personnel resources (4.00) | monitoring (3.88) | speaking (3.88) | active listening (3.75) | complex problem solving (3.75) | coordination (3.75) | judgment and decision making (3.75) | service orientation (3.75) | social perceptiveness (3.75) | time management (3.75) | writing (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft word | microsoft powerpoint | employee scheduling software | human resources management system hrms | web browser software
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",,active listening (3.88) | speaking (3.88) | coordination (3.75) | critical thinking (3.75) | reading comprehension (3.75) | service orientation (3.75) | social perceptiveness (3.75) | judgment and decision making (3.62) | writing (3.62) | instructing (3.50) | monitoring (3.50) | time management (3.50),microsoft excel | microsoft office software | adobe acrobat | apple macos | atlassian confluence | cisco webex | facebook | google docs | hubspot software | ibm spss statistics | intuit quickbooks | linux | marketo marketing automation | microsoft access | microsoft outlook
