onet_soc_code,canonical_title,description,matched_target_families,top_skills,top_technology_examples
31-1132.00,Orderlies,"Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment. Psychiatric orderlies are included in Psychiatric Aides.",,service orientation (3.38) | social perceptiveness (3.38) | active listening (3.12) | speaking (3.00) | coordination (2.88) | critical thinking (2.75) | judgment and decision making (2.62) | monitoring (2.62) | writing (2.62) | reading comprehension (2.50) | time management (2.50) | negotiation (2.38),microsoft excel | microsoft office software | microsoft outlook | microsoft windows | electronic medical record emr software | ge healthcare centricity emr | medical record charting software
31-1133.00,Psychiatric Aides,"Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies.",,service orientation (3.88) | social perceptiveness (3.88) | speaking (3.88) | active listening (3.75) | monitoring (3.75) | critical thinking (3.38) | active learning (3.25) | coordination (3.25) | complex problem solving (3.12) | instructing (3.12) | judgment and decision making (3.12) | reading comprehension (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | email software | patient management software
31-2011.00,Occupational Therapy Assistants,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training.",,active listening (3.88) | service orientation (3.88) | social perceptiveness (3.88) | speaking (3.88) | reading comprehension (3.62) | time management (3.50) | critical thinking (3.38) | monitoring (3.38) | active learning (3.25) | instructing (3.25) | learning strategies (3.25) | writing (3.25),eclinicalworks ehr software | facebook | microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | accounting software | billing software | bookkeeping software | braintrain captain s log | braintrain iva+plus | braintrain smartdriver
31-2012.00,Occupational Therapy Aides,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.",,service orientation (3.75) | social perceptiveness (3.62) | speaking (3.62) | active listening (3.50) | coordination (3.38) | critical thinking (3.25) | monitoring (3.25) | complex problem solving (3.12) | reading comprehension (3.12) | writing (3.12) | active learning (3.00) | instructing (3.00),meditech software | microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | billing software | electronic medical record emr software | scheduling software | word processing software
31-2021.00,Physical Therapist Assistants,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.",,active listening (4.00) | monitoring (3.75) | social perceptiveness (3.75) | speaking (3.75) | active learning (3.25) | critical thinking (3.25) | reading comprehension (3.25) | service orientation (3.25) | writing (3.25) | complex problem solving (3.12) | coordination (3.12) | instructing (3.12),eclinicalworks ehr software | microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | accounting software | arena health systems phys-x | beaver creek software the therapist | billing software | bioex systems exercise pro | bookkeeping software | client caseload management software
31-2022.00,Physical Therapist Aides,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area.",,active listening (3.62) | monitoring (3.25) | service orientation (3.25) | coordination (3.12) | reading comprehension (3.12) | social perceptiveness (3.12) | active learning (3.00) | critical thinking (3.00) | instructing (3.00) | speaking (3.00) | time management (3.00) | writing (3.00),epic systems | meditech software | microsoft excel | microsoft office software | microsoft outlook | microsoft word | medical procedure coding software | patient record maintenance software | scheduling software | word processing software
31-9011.00,Massage Therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans.",,active listening (3.62) | speaking (3.62) | service orientation (3.25) | social perceptiveness (3.25) | judgment and decision making (3.12) | active learning (3.00) | complex problem solving (3.00) | critical thinking (3.00) | monitoring (3.00) | reading comprehension (3.00) | writing (3.00) | time management (2.88),microsoft excel | microsoft word | appointmentquest online appointment manager | ics software sammyusa | land software customer pro-file | massage suite | scheduling software | spreadsheet software | wincity custom software wincity massage soap notes | word processing software
31-9091.00,Dental Assistants,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.",,active listening (3.88) | speaking (3.38) | reading comprehension (3.25) | active learning (3.12) | instructing (3.12) | monitoring (3.12) | service orientation (3.12) | social perceptiveness (3.12) | complex problem solving (3.00) | critical thinking (3.00) | writing (3.00) | coordination (2.88),henry schein dentrix | microsoft excel | microsoft office software | email software | kodak dental systems kodak softdent practice management software pms | open dental | patterson dental supply patterson eaglesoft | quicken | the systems workplace tdocs | web browser software | word processing software
31-9092.00,Medical Assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.",,social perceptiveness (4.00) | active listening (3.88) | speaking (3.88) | reading comprehension (3.75) | critical thinking (3.62) | coordination (3.50) | monitoring (3.50) | service orientation (3.50) | writing (3.38) | active learning (3.25) | instructing (3.12) | learning strategies (3.12),epic systems | microsoft office software | eclinicalworks ehr software | intuit quickbooks | meditech software | microsoft access | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft sharepoint | microsoft word | appointment scheduling software | billing software | bookkeeping software | business software applications
31-9093.00,Medical Equipment Preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.",,critical thinking (3.50) | monitoring (3.38) | quality control analysis (3.38) | active listening (3.25) | operations monitoring (3.25) | reading comprehension (3.12) | speaking (3.12) | troubleshooting (3.12) | active learning (3.00) | coordination (3.00) | judgment and decision making (3.00) | time management (3.00),eclinicalworks ehr software | kronos workforce timekeeper | meditech software | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft sharepoint | microsoft word | calendar software | database software | email software | inventory tracking software | mckesson ansos one-staff | meditech supply chain management
31-9094.00,Medical Transcriptionists,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.",,active listening (4.12) | reading comprehension (4.00) | writing (3.88) | monitoring (3.12) | critical thinking (3.00) | judgment and decision making (3.00) | speaking (3.00) | time management (3.00) | active learning (2.88) | social perceptiveness (2.75) | complex problem solving (2.62) | coordination (2.50),microsoft office software | eclinicalworks ehr software | microsoft access | microsoft asp net | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | allscripts healthcare automation software | boston bar systems corporation sonnet | bytescribe development company wavplayer | calendar software | corel wordperfect office suite | crescendo systems corporation medrite-xl
31-9095.00,Pharmacy Aides,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling.",,active listening (3.50) | service orientation (3.38) | speaking (3.38) | reading comprehension (3.25) | social perceptiveness (3.25) | coordination (3.00) | critical thinking (3.00) | judgment and decision making (3.00) | active learning (2.88) | complex problem solving (2.75) | monitoring (2.75) | writing (2.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | database software | spreadsheet software | word processing software
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.",,active listening (3.50) | critical thinking (3.25) | monitoring (3.12) | reading comprehension (3.12) | service orientation (3.12) | writing (3.12) | coordination (3.00) | social perceptiveness (3.00) | speaking (3.00) | time management (3.00) | active learning (2.88) | complex problem solving (2.88),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | idexx laboratories idexx cornerstone | labeling software | mcallister software systems avimark | medical software | practice management software pms | scheduling software | word processing software
31-9097.00,Phlebotomists,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.",,service orientation (3.62) | social perceptiveness (3.50) | active listening (3.38) | speaking (3.38) | critical thinking (3.25) | coordination (3.12) | monitoring (3.12) | reading comprehension (3.12) | writing (3.12) | active learning (3.00) | instructing (3.00) | time management (3.00),microsoft office software | javascript | meditech software | microsoft excel | microsoft outlook | microsoft word | donor management system software | electronic medical record emr software | iatric systems mobilab | laboratory information system lis | medical procedure coding software | meditech blood bank | meditech laboratory and microbiology | scheduling software
31-9099.00,"Healthcare Support Workers, All Other",All healthcare support workers not listed separately.,,,
31-9099.01,Speech-Language Pathology Assistants,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems.",,active listening (4.00) | reading comprehension (3.75) | speaking (3.75) | social perceptiveness (3.50) | monitoring (3.38) | service orientation (3.38) | complex problem solving (3.25) | active learning (3.12) | critical thinking (3.12) | judgment and decision making (3.12) | writing (3.12) | instructing (3.00),microsoft excel | microsoft office software | microsoft windows | microsoft word | adobe audition | biofeedback software | bungalow software aphasia tutor | elr software elr extra language resources | email software | kaypentax multi-speech | language analysis software | learning fundamentals speech visualization | micro video video voice speech training system | propeller multimedia react2 | signal analysis software
31-9099.02,Endoscopy Technicians,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.,,active listening (3.62) | reading comprehension (3.62) | critical thinking (3.38) | social perceptiveness (3.25) | active learning (3.12) | monitoring (3.12) | operations monitoring (3.12) | speaking (3.12) | writing (3.12) | complex problem solving (3.00) | coordination (3.00) | instructing (3.00),meditech software | microsoft excel | microsoft office software | microsoft powerpoint | microsoft word | email software | patient electronic medical record emr software | scheduling software
33-1011.00,First-Line Supervisors of Correctional Officers,Directly supervise and coordinate activities of correctional officers and jailers.,,active listening (4.00) | coordination (4.00) | critical thinking (4.00) | monitoring (4.00) | social perceptiveness (4.00) | speaking (3.88) | management of personnel resources (3.75) | reading comprehension (3.75) | negotiation (3.50) | persuasion (3.50) | writing (3.50) | active learning (3.25),microsoft office software | microsoft access | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft word | 3m electronic monitoring | email software | guardian rfid | jail management software
33-1012.00,First-Line Supervisors of Police and Detectives,Directly supervise and coordinate activities of members of police force.,,active listening (4.00) | critical thinking (4.00) | management of personnel resources (4.00) | monitoring (4.00) | reading comprehension (4.00) | social perceptiveness (4.00) | speaking (4.00) | active learning (3.88) | coordination (3.88) | instructing (3.88) | persuasion (3.88) | complex problem solving (3.75),microsoft office software | microsoft access | microsoft active server pages asp | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft visio | microsoft word | computer aided composite drawing software | computer aided dispatch software | corel wordperfect office suite | crime mapping software | designware 3d eyewitness | email software | integrated automated fingerprint identification system iafis
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,,active listening (4.00) | critical thinking (3.88) | social perceptiveness (3.75) | coordination (3.62) | judgment and decision making (3.62) | management of personnel resources (3.62) | monitoring (3.62) | reading comprehension (3.62) | service orientation (3.62) | speaking (3.62) | complex problem solving (3.50) | instructing (3.50),microsoft excel | microsoft office software | microsoft powerpoint | microsoft access | microsoft outlook | microsoft word | affiliated computer services acs firehouse | behaveplus | bio-key firerms | computer aided dispatch software | corel wordperfect office suite | email software | esri arcview | farsite | fire incident reporting systems
33-1091.00,First-Line Supervisors of Security Workers,Directly supervise and coordinate activities of security workers and security guards.,,active listening (4.00) | critical thinking (3.88) | judgment and decision making (3.88) | reading comprehension (3.88) | speaking (3.88) | management of personnel resources (3.75) | monitoring (3.75) | complex problem solving (3.62) | coordination (3.62) | social perceptiveness (3.62) | time management (3.62) | writing (3.62),microsoft office software | microsoft access | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft word | employee scheduling software | enterprise resource planning erp software | oracle software | sap business and customer relations management software | time and attendance software
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",All protective service supervisors not listed separately above.,,,
33-2011.00,Firefighters,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",,critical thinking (3.88) | coordination (3.62) | judgment and decision making (3.62) | service orientation (3.62) | active learning (3.50) | active listening (3.50) | monitoring (3.50) | speaking (3.50) | social perceptiveness (3.38) | complex problem solving (3.25) | operation and control (3.25) | operations monitoring (3.25),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | affiliated computer services acs firehouse | corel wordperfect office suite | email software | fire incident reporting systems | geographic information system gis software | incident command system ics software | operating system software | plume modeling software
33-2021.00,Fire Inspectors and Investigators,"Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions.",,active listening (3.62) | critical thinking (3.50) | speaking (3.50) | writing (3.50) | reading comprehension (3.38) | social perceptiveness (3.38) | instructing (3.25) | monitoring (3.25) | persuasion (3.25) | service orientation (3.25) | active learning (3.12) | complex problem solving (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft word | microsoft access | microsoft powerpoint | code database software | consolidated model of fire and smoke transport cfast | email software | fire dynamics software fds | national fire incident reporting system nfirs | web browser software | xerox government systems firehouse software
33-2022.00,Forest Fire Inspectors and Prevention Specialists,"Enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures. May report forest fires and weather conditions.",,critical thinking (4.00) | coordination (3.75) | speaking (3.75) | active listening (3.62) | judgment and decision making (3.62) | complex problem solving (3.50) | monitoring (3.38) | instructing (3.25) | learning strategies (3.12) | management of personnel resources (3.12) | reading comprehension (3.12) | time management (3.12),amazon web services aws cloudformation | amazon web services aws software | ansible software | docker | facebook | git | kubernetes | linux | microsoft active server pages asp | microsoft azure software | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft powershell
33-3011.00,Bailiffs,Maintain order in courts of law.,,social perceptiveness (4.00) | monitoring (3.38) | speaking (3.38) | active listening (3.25) | judgment and decision making (3.25) | critical thinking (3.00) | time management (3.00) | complex problem solving (2.88) | coordination (2.88) | persuasion (2.88) | reading comprehension (2.88) | service orientation (2.88),microsoft office software | adobe acrobat | microsoft access | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft sharepoint | microsoft word | case management system software | corel wordperfect office suite | court docket management software | email software | ibm lotus notes | national crime information center ncic database | state crime information databases
33-3012.00,Correctional Officers and Jailers,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.",,active listening (4.00) | monitoring (4.00) | social perceptiveness (4.00) | speaking (3.88) | critical thinking (3.75) | reading comprehension (3.62) | coordination (3.50) | persuasion (3.38) | active learning (3.25) | complex problem solving (3.25) | judgment and decision making (3.25) | negotiation (3.25),adobe acrobat | facebook | microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | 3m electronic monitoring | corrections housing software | guardian rfid | jail management software | web browser software | word processing software
33-3021.00,Detectives and Criminal Investigators,"Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes.",,active listening (4.38) | speaking (4.25) | critical thinking (4.12) | complex problem solving (3.88) | reading comprehension (3.88) | social perceptiveness (3.88) | judgment and decision making (3.75) | active learning (3.50) | coordination (3.50) | service orientation (3.50) | monitoring (3.38) | writing (3.38),microsoft excel | microsoft office software | adobe photoshop | linux | microsoft access | microsoft outlook | microsoft powerpoint | microsoft visio | microsoft word | sas | structured query language sql | accessdata ftk | case management software | computer aided composite drawing software | corel wordperfect office suite
33-3021.02,Police Identification and Records Officers,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases.",,active listening (3.88) | speaking (3.88) | critical thinking (3.75) | reading comprehension (3.75) | writing (3.25) | active learning (3.00) | complex problem solving (3.00) | coordination (3.00) | judgment and decision making (3.00) | monitoring (3.00) | social perceptiveness (3.00) | time management (3.00),adobe photoshop | linux | microsoft access | microsoft excel | microsoft office software | microsoft powerpoint | microsoft visio | microsoft windows | microsoft word | computer aided composite drawing software | database software | dataworks plus digital crimescene | dechant consulting services iwitness | designware 3d eyewitness | digital image management solutions crime scene
33-3021.06,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",machine_learning,reading comprehension (4.25) | active listening (4.12) | critical thinking (4.00) | speaking (4.00) | writing (4.00) | active learning (3.62) | complex problem solving (3.62) | monitoring (3.25) | coordination (3.12) | judgment and decision making (3.12) | instructing (3.00) | learning strategies (3.00),microsoft excel | microsoft office software | microsoft powerpoint | amazon web services aws software | apache hadoop | apache hive | apache kafka | apache spark | c++ | django | esri arcgis software | facebook | hypertext markup language html | javascript | linux
33-3031.00,Fish and Game Wardens,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.,,active listening (3.88) | critical thinking (3.88) | speaking (3.75) | reading comprehension (3.62) | judgment and decision making (3.50) | complex problem solving (3.38) | monitoring (3.38) | persuasion (3.38) | social perceptiveness (3.38) | coordination (3.25) | service orientation (3.12) | systems analysis (3.12),microsoft excel | microsoft office software | microsoft powerpoint | microsoft word | puppet | swift | customer relationship management crm software | database software | global positioning system gps software | mapping software | spreadsheet software | web browser software | word processing software
33-3041.00,Parking Enforcement Workers,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles.",,monitoring (3.25) | speaking (3.25) | active listening (3.12) | critical thinking (3.12) | social perceptiveness (3.12) | coordination (3.00) | reading comprehension (3.00) | service orientation (3.00) | time management (3.00) | active learning (2.88) | instructing (2.88) | judgment and decision making (2.88),microsoft excel | microsoft access | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | complus data innovations fasttrack | integrated parking solutions mapp | operating system software | ticket issuing software | vehicle information databases | web browser software | word processing software
33-3051.00,Police and Sheriff's Patrol Officers,"Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.",,active listening (3.88) | social perceptiveness (3.88) | speaking (3.88) | active learning (3.75) | critical thinking (3.75) | coordination (3.62) | judgment and decision making (3.62) | persuasion (3.62) | reading comprehension (3.62) | monitoring (3.50) | service orientation (3.50) | negotiation (3.38),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft visio | microsoft windows | microsoft word | computer aided composite drawing software | computer aided dispatch software | corel wordperfect office suite | crime mapping software | database software | designware 3d eyewitness | email software
33-3051.04,Customs and Border Protection Officers,"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations.",,active listening (4.00) | critical thinking (4.00) | speaking (4.00) | reading comprehension (3.88) | social perceptiveness (3.88) | judgment and decision making (3.62) | monitoring (3.62) | writing (3.62) | active learning (3.38) | coordination (3.38) | complex problem solving (3.12) | persuasion (3.12),ibm websphere mq | microsoft excel | microsoft office software | microsoft outlook | microsoft word | sap software | automated manifest system ams | corel wordperfect office suite | global positioning system gps software | law enforcement information databases | national crime information center ncic database | treasury enforcement communications system tecs
33-3052.00,Transit and Railroad Police,"Protect and police railroad and transit property, employees, or passengers.",,active listening (4.00) | speaking (4.00) | critical thinking (3.88) | complex problem solving (3.75) | monitoring (3.38) | social perceptiveness (3.38) | active learning (3.25) | coordination (3.25) | judgment and decision making (3.25) | writing (3.25) | negotiation (3.12) | reading comprehension (3.12),microsoft active server pages asp | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | crime mapping software | integrated automated fingerprint identification system iafis | law enforcement information databases | mapinfo professional | mapinfo streetpro | national crime information center ncic database | smugmug flickr | web browser software
33-9011.00,Animal Control Workers,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals.",,active listening (3.75) | speaking (3.62) | critical thinking (3.50) | coordination (3.00) | judgment and decision making (3.00) | monitoring (3.00) | reading comprehension (3.00) | service orientation (3.00) | social perceptiveness (3.00) | time management (3.00) | writing (3.00) | active learning (2.88),microsoft excel | microsoft office software | microsoft access | microsoft outlook | microsoft powerpoint | microsoft sharepoint | microsoft visio | microsoft windows | microsoft word | sap software | animal shelter manager | ark software ark shelter software | cisco software acs animal control system | esri arcgis | geographic information system gis software
33-9021.00,Private Detectives and Investigators,"Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment.",,active listening (4.12) | speaking (4.00) | critical thinking (3.88) | reading comprehension (3.88) | complex problem solving (3.75) | writing (3.62) | social perceptiveness (3.50) | active learning (3.38) | judgment and decision making (3.38) | monitoring (3.38) | coordination (3.00) | service orientation (3.00),microsoft excel | microsoft office software | microsoft word | facebook | microsoft access | microsoft outlook | microsoft powerpoint | microsoft windows | computer imaging software | email software | lexisnexis | operating system software | web browser software | word processing software
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,"Observe gambling operation for irregular activities such as cheating or theft by either employees or patrons. Investigate potential threats to gambling assets such as money, chips, and gambling equipment. Act as oversight and security agent for management and customers.",,monitoring (4.12) | critical thinking (3.75) | speaking (3.62) | judgment and decision making (3.38) | active listening (3.25) | reading comprehension (3.25) | active learning (3.12) | social perceptiveness (3.12) | writing (3.12) | complex problem solving (3.00) | instructing (3.00) | coordination (2.88),microsoft office software | microsoft excel | microsoft outlook | microsoft powerpoint | microsoft word | filemaker pro | iview systems | microsoft paint
33-9032.00,Security Guards,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment.",,active listening (3.75) | monitoring (3.38) | speaking (3.25) | coordination (3.12) | critical thinking (3.12) | judgment and decision making (3.00) | reading comprehension (3.00) | social perceptiveness (3.00) | active learning (2.88) | persuasion (2.88) | service orientation (2.88) | writing (2.75),microsoft excel | microsoft office software | microsoft outlook | microsoft sharepoint | microsoft word | corel wordperfect office suite | facetime | ibm lotus 1-2-3 | mcafee | nortonlifelock cybersecurity software | wireshark
33-9091.00,Crossing Guards and Flaggers,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.",,speaking (3.12) | social perceptiveness (3.00) | active listening (2.88) | monitoring (2.88) | coordination (2.75) | critical thinking (2.75) | judgment and decision making (2.75) | service orientation (2.75) | complex problem solving (2.38) | active learning (2.25) | reading comprehension (2.25) | negotiation (2.12),microsoft word | payroll software | visual computer solutions crossing guard scheduling
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants.",,monitoring (3.75) | speaking (3.50) | social perceptiveness (3.38) | service orientation (3.25) | active listening (3.12) | learning strategies (3.12) | complex problem solving (3.00) | coordination (3.00) | critical thinking (3.00) | judgment and decision making (3.00) | reading comprehension (2.88) | active learning (2.75),microsoft excel | microsoft outlook | microsoft powerpoint | microsoft word | groupme | microsoft publisher
33-9093.00,Transportation Security Screeners,"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.",,monitoring (3.38) | speaking (3.38) | active listening (3.25) | coordination (3.25) | critical thinking (3.25) | social perceptiveness (3.25) | judgment and decision making (3.12) | persuasion (3.00) | reading comprehension (3.00) | service orientation (3.00) | active learning (2.88) | instructing (2.88),linux | microsoft excel | microsoft office software | microsoft outlook | microsoft word | oracle java | slack | applicant tracking software | email software | oracle taleo | rapiscan threat image projection | web browser software
33-9094.00,School Bus Monitors,Maintain order among students on a school bus. Duties include helping students safely board and exit and communicating behavioral problems. May perform pretrip and posttrip inspections and prepare for and assist in emergency evacuations.,,,microsoft windows | web browser software
33-9099.00,"Protective Service Workers, All Other",All protective service workers not listed separately.,,,
33-9099.02,Retail Loss Prevention Specialists,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",,critical thinking (3.75) | active listening (3.50) | monitoring (3.50) | speaking (3.50) | judgment and decision making (3.38) | social perceptiveness (3.38) | active learning (3.25) | reading comprehension (3.25) | coordination (3.12) | writing (3.12) | complex problem solving (3.00) | systems analysis (3.00),microsoft excel | microsoft access | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | structured query language sql | aspect loss prevention aspect elitelp | case management system software | database software | enterprise application integration eai software | epicor loss prevention | mcafee | nortonlifelock cybersecurity software
35-1011.00,Chefs and Head Cooks,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts.",,coordination (4.12) | monitoring (4.00) | management of personnel resources (3.88) | social perceptiveness (3.88) | speaking (3.88) | time management (3.88) | critical thinking (3.75) | service orientation (3.75) | active listening (3.62) | instructing (3.62) | judgment and decision making (3.62) | reading comprehension (3.50),microsoft excel | microsoft office software | microsoft outlook | microsoft word | facebook | google sheets | microsoft powerpoint | adp etime | axxya systems nutritionist pro | barrington software cookenpro commercial | costguard | culinary software services cheftec | delphi technology | egs calcmenu | email software
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Directly supervise and coordinate activities of workers engaged in preparing and serving food.,,management of personnel resources (4.00) | coordination (3.88) | monitoring (3.88) | speaking (3.88) | active listening (3.75) | instructing (3.75) | service orientation (3.62) | reading comprehension (3.25) | critical thinking (3.12) | learning strategies (3.12) | negotiation (3.12) | social perceptiveness (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft project | microsoft word | adp workforce now | caterpro | cbord foodservice suite | cbord group menu management system | compeat restaurant accounting systems | compris advanced manager s workstation | compris software | costguard | delphi technology
35-2011.00,"Cooks, Fast Food",Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.,,active listening (3.00) | service orientation (3.00) | coordination (2.75) | social perceptiveness (2.75) | speaking (2.75) | critical thinking (2.62) | monitoring (2.62) | reading comprehension (2.62) | time management (2.50) | active learning (2.38) | judgment and decision making (2.38) | persuasion (2.25),microsoft excel | microsoft outlook | microsoft word | aldelo systems aldelo for restaurants pro | foodman home-delivery | plexis software plexis pos | point of sale pos software | restaurantplus pro
35-2012.00,"Cooks, Institution and Cafeteria","Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias.",,judgment and decision making (3.12) | monitoring (3.12) | operations monitoring (3.12) | quality control analysis (3.12) | service orientation (3.12) | speaking (3.12) | active listening (3.00) | complex problem solving (3.00) | coordination (3.00) | critical thinking (3.00) | management of personnel resources (3.00) | time management (3.00),microsoft excel | microsoft word | gnome gnutrition | ibm lotus 1-2-3 | meals plus | pcs revenue control systems fastrak school meal software | point of sale pos software | spreadsheet software | word processing software
