onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
31-9097.00,Phlebotomists,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.",,computers and electronics (3.14) | mathematics (2.36) | telecommunications (2.18) | engineering and technology (1.90),javascript | meditech software | microsoft excel | donor management system software | electronic medical record emr software | iatric systems mobilab | laboratory information system lis | medical procedure coding software | meditech blood bank | meditech laboratory and microbiology | scheduling software
31-9099.00,"Healthcare Support Workers, All Other",All healthcare support workers not listed separately.,,,
31-9099.01,Speech-Language Pathology Assistants,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems.",,computers and electronics (2.76) | telecommunications (1.93) | mathematics (1.69) | engineering and technology (1.33),microsoft excel | microsoft windows | adobe audition | biofeedback software | bungalow software aphasia tutor | elr software elr extra language resources | email software | kaypentax multi-speech | language analysis software | learning fundamentals speech visualization | micro video video voice speech training system | propeller multimedia react2 | signal analysis software | speech analysis software | text to speech software
31-9099.02,Endoscopy Technicians,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.,,computers and electronics (3.31) | engineering and technology (2.42) | telecommunications (2.23) | mathematics (2.19),meditech software | microsoft excel | email software | patient electronic medical record emr software | scheduling software
33-1011.00,First-Line Supervisors of Correctional Officers,Directly supervise and coordinate activities of correctional officers and jailers.,,computers and electronics (3.64) | telecommunications (2.76) | mathematics (2.66) | engineering and technology (1.57),microsoft access | microsoft excel | 3m electronic monitoring | email software | guardian rfid | jail management software
33-1012.00,First-Line Supervisors of Police and Detectives,Directly supervise and coordinate activities of members of police force.,,computers and electronics (2.71) | telecommunications (2.44) | mathematics (2.24) | engineering and technology (1.49),microsoft access | microsoft active server pages asp | microsoft excel | microsoft visio | computer aided composite drawing software | computer aided dispatch software | corel wordperfect office suite | crime mapping software | designware 3d eyewitness | email software | integrated automated fingerprint identification system iafis | law enforcement information databases | microsoft internet explorer | national crime information center ncic database | national integrated ballistics information network nibin
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,,mathematics (3.06) | telecommunications (2.93) | computers and electronics (2.78) | engineering and technology (2.62),microsoft excel | microsoft access | affiliated computer services acs firehouse | behaveplus | bio-key firerms | computer aided dispatch software | corel wordperfect office suite | email software | esri arcview | farsite | fire incident reporting systems | flammap | geographic information system gis software | geographic information system gis systems | ibm lotus 1-2-3
33-1091.00,First-Line Supervisors of Security Workers,Directly supervise and coordinate activities of security workers and security guards.,,computers and electronics (3.88) | telecommunications (3.20) | engineering and technology (3.00) | mathematics (2.82),microsoft access | microsoft excel | employee scheduling software | enterprise resource planning erp software | oracle software | sap business and customer relations management software | time and attendance software
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",All protective service supervisors not listed separately above.,,,
33-2011.00,Firefighters,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",,telecommunications (3.58) | mathematics (3.16) | computers and electronics (2.85) | engineering and technology (2.55),microsoft access | microsoft excel | microsoft windows | affiliated computer services acs firehouse | corel wordperfect office suite | email software | fire incident reporting systems | geographic information system gis software | incident command system ics software | operating system software | plume modeling software | spreadsheet software | web browser software
33-2021.00,Fire Inspectors and Investigators,"Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions.",,computers and electronics (2.91) | mathematics (2.90) | telecommunications (2.79) | engineering and technology (2.43),microsoft excel | microsoft access | code database software | consolidated model of fire and smoke transport cfast | email software | fire dynamics software fds | national fire incident reporting system nfirs | web browser software | xerox government systems firehouse software
33-2022.00,Forest Fire Inspectors and Prevention Specialists,"Enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures. May report forest fires and weather conditions.",,computers and electronics (3.54) | mathematics (2.97) | telecommunications (2.67) | engineering and technology (2.50),amazon web services aws cloudformation | amazon web services aws software | ansible software | docker | facebook | git | kubernetes | linux | microsoft active server pages asp | microsoft azure software | microsoft excel | microsoft powershell | microsoft sharepoint | microsoft sql server | microsoft windows
33-3011.00,Bailiffs,Maintain order in courts of law.,,computers and electronics (2.57) | telecommunications (2.41) | mathematics (2.03) | engineering and technology (1.17),adobe acrobat | microsoft access | microsoft excel | microsoft sharepoint | case management system software | corel wordperfect office suite | court docket management software | email software | ibm lotus notes | national crime information center ncic database | state crime information databases | statistics software | web browser software | word processing software
33-3012.00,Correctional Officers and Jailers,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.",,computers and electronics (3.43) | telecommunications (3.17) | mathematics (2.87) | engineering and technology (1.86),adobe acrobat | facebook | microsoft access | microsoft excel | 3m electronic monitoring | corrections housing software | guardian rfid | jail management software | web browser software | word processing software
33-3021.00,Detectives and Criminal Investigators,"Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes.",,computers and electronics (3.57) | telecommunications (2.99) | mathematics (2.63) | engineering and technology (1.96),microsoft excel | adobe photoshop | linux | microsoft access | microsoft visio | sas | structured query language sql | accessdata ftk | case management software | computer aided composite drawing software | corel wordperfect office suite | crime mapping software | dataworks plus digital crimescene | dechant consulting services iwitness | designware 3d eyewitness
33-3021.02,Police Identification and Records Officers,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases.",,computers and electronics (3.50) | mathematics (2.56) | telecommunications (2.54) | engineering and technology (1.92),adobe photoshop | linux | microsoft access | microsoft excel | microsoft visio | microsoft windows | computer aided composite drawing software | database software | dataworks plus digital crimescene | dechant consulting services iwitness | designware 3d eyewitness | digital image management solutions crime scene | eos systems photomodeler | image enhancement software | integrated automated fingerprint identification system iafis
33-3021.06,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",,computers and electronics (3.48) | telecommunications (3.13) | mathematics (2.70) | engineering and technology (2.00),microsoft excel | amazon web services aws software | apache hadoop | apache hive | apache kafka | apache spark | c++ | django | esri arcgis software | facebook | hypertext markup language html | javascript | linux | microsoft access | microsoft azure software
33-3031.00,Fish and Game Wardens,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.,,computers and electronics (3.02) | mathematics (2.88) | telecommunications (2.72) | engineering and technology (1.94),microsoft excel | puppet | swift | customer relationship management crm software | database software | global positioning system gps software | mapping software | spreadsheet software | web browser software | word processing software
33-3041.00,Parking Enforcement Workers,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles.",,computers and electronics (3.14) | mathematics (2.57) | telecommunications (2.21) | engineering and technology (2.11),microsoft excel | microsoft access | microsoft windows | complus data innovations fasttrack | integrated parking solutions mapp | operating system software | ticket issuing software | vehicle information databases | web browser software | word processing software
33-3051.00,Police and Sheriff's Patrol Officers,"Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.",,telecommunications (3.48) | computers and electronics (3.38) | mathematics (2.38) | engineering and technology (1.72),microsoft access | microsoft excel | microsoft visio | microsoft windows | computer aided composite drawing software | computer aided dispatch software | corel wordperfect office suite | crime mapping software | database software | designware 3d eyewitness | email software | esri arcview | ibm lotus 1-2-3 | integrated automated fingerprint identification system iafis | law enforcement information databases
33-3051.04,Customs and Border Protection Officers,"Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations.",,computers and electronics (3.20) | telecommunications (2.51) | mathematics (2.40) | engineering and technology (1.61),ibm websphere mq | microsoft excel | sap software | automated manifest system ams | corel wordperfect office suite | global positioning system gps software | law enforcement information databases | national crime information center ncic database | treasury enforcement communications system tecs
33-3052.00,Transit and Railroad Police,"Protect and police railroad and transit property, employees, or passengers.",,computers and electronics (3.48) | telecommunications (3.45) | mathematics (2.62) | engineering and technology (2.05),microsoft active server pages asp | microsoft excel | crime mapping software | integrated automated fingerprint identification system iafis | law enforcement information databases | mapinfo professional | mapinfo streetpro | national crime information center ncic database | smugmug flickr | web browser software
33-9011.00,Animal Control Workers,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals.",,telecommunications (3.08) | computers and electronics (3.04) | mathematics (2.46) | engineering and technology (1.58),microsoft excel | microsoft access | microsoft sharepoint | microsoft visio | microsoft windows | sap software | animal shelter manager | ark software ark shelter software | cisco software acs animal control system | esri arcgis | geographic information system gis software | geographic information system gis systems | multiple options animal shelter management system | rescueconnection software shelterconntection | roserush services shelter pro
33-9021.00,Private Detectives and Investigators,"Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment.",,computers and electronics (3.56) | telecommunications (2.41) | mathematics (2.35) | engineering and technology (1.41),microsoft excel | facebook | microsoft access | microsoft windows | computer imaging software | email software | lexisnexis | operating system software | web browser software | word processing software
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,"Observe gambling operation for irregular activities such as cheating or theft by either employees or patrons. Investigate potential threats to gambling assets such as money, chips, and gambling equipment. Act as oversight and security agent for management and customers.",,computers and electronics (3.67) | mathematics (3.64) | telecommunications (2.85) | engineering and technology (2.07),microsoft excel | filemaker pro | iview systems | microsoft paint
33-9032.00,Security Guards,"Guard, patrol, or monitor premises to prevent theft, violence, or infractions of rules. May operate x-ray and metal detector equipment.",,computers and electronics (4.09) | telecommunications (3.81) | mathematics (2.37) | engineering and technology (2.36),microsoft excel | microsoft sharepoint | corel wordperfect office suite | facetime | ibm lotus 1-2-3 | mcafee | nortonlifelock cybersecurity software | wireshark
33-9091.00,Crossing Guards and Flaggers,"Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites.",,mathematics (1.51) | telecommunications (1.47) | computers and electronics (1.34) | engineering and technology (1.24),payroll software | visual computer solutions crossing guard scheduling
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Monitor recreational areas, such as pools, beaches, or ski slopes, to provide assistance and protection to participants.",,telecommunications (2.18) | computers and electronics (2.13) | mathematics (2.06) | engineering and technology (1.51),microsoft excel | groupme | microsoft publisher
33-9093.00,Transportation Security Screeners,"Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.",,computers and electronics (2.00) | telecommunications (1.93) | mathematics (1.70) | engineering and technology (1.41),linux | microsoft excel | oracle java | slack | applicant tracking software | email software | oracle taleo | rapiscan threat image projection | web browser software
33-9094.00,School Bus Monitors,Maintain order among students on a school bus. Duties include helping students safely board and exit and communicating behavioral problems. May perform pretrip and posttrip inspections and prepare for and assist in emergency evacuations.,,,microsoft windows | web browser software
33-9099.00,"Protective Service Workers, All Other",All protective service workers not listed separately.,,,
33-9099.02,Retail Loss Prevention Specialists,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",,computers and electronics (3.47) | mathematics (3.00) | telecommunications (2.57) | engineering and technology (1.90),microsoft excel | microsoft access | microsoft windows | structured query language sql | aspect loss prevention aspect elitelp | case management system software | database software | enterprise application integration eai software | epicor loss prevention | mcafee | nortonlifelock cybersecurity software
35-1011.00,Chefs and Head Cooks,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts.",,mathematics (3.54) | computers and electronics (2.83) | engineering and technology (2.12) | telecommunications (1.88),microsoft excel | facebook | google sheets | adp etime | axxya systems nutritionist pro | barrington software cookenpro commercial | costguard | culinary software services cheftec | delphi technology | egs calcmenu | email software | enggist and grandjean egs f and b control | gnome gnutrition | groupme | internet browser software
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Directly supervise and coordinate activities of workers engaged in preparing and serving food.,,mathematics (2.96) | computers and electronics (2.53) | engineering and technology (2.23) | telecommunications (1.95),microsoft excel | microsoft project | adp workforce now | caterpro | cbord foodservice suite | cbord group menu management system | compeat restaurant accounting systems | compris advanced manager s workstation | compris software | costguard | delphi technology | evernote | ibm domino | intuit quickbooks point of sale | inventory management software
35-2011.00,"Cooks, Fast Food",Prepare and cook food in a fast food restaurant with a limited menu. Duties of these cooks are limited to preparation of a few basic items and normally involve operating large-volume single-purpose cooking equipment.,,computers and electronics (2.30) | mathematics (1.68) | telecommunications (1.28) | engineering and technology (1.25),microsoft excel | aldelo systems aldelo for restaurants pro | foodman home-delivery | plexis software plexis pos | point of sale pos software | restaurantplus pro
35-2012.00,"Cooks, Institution and Cafeteria","Prepare and cook large quantities of food for institutions, such as schools, hospitals, or cafeterias.",,mathematics (3.54) | computers and electronics (2.68) | engineering and technology (1.74) | telecommunications (1.74),microsoft excel | gnome gnutrition | ibm lotus 1-2-3 | meals plus | pcs revenue control systems fastrak school meal software | point of sale pos software | spreadsheet software | word processing software
35-2013.00,"Cooks, Private Household",Prepare meals in private homes. Includes personal chefs.,,mathematics (3.00) | computers and electronics (2.31) | telecommunications (1.77) | engineering and technology (1.38),intuit quickbooks | wordpress | appca personal chef office | cooking e-books | cost tracking software | email software | food inventory software | web browser software | work scheduling software | youtube
35-2014.00,"Cooks, Restaurant","Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu.",,mathematics (2.13) | computers and electronics (1.54) | telecommunications (1.40) | engineering and technology (1.11),facebook | microsoft excel | food safety labeling systems | inventory management software | menu planning software | point of sale pos restaurant software | recipe cost control software
35-2015.00,"Cooks, Short Order",Prepare and cook to order a variety of foods that require only a short preparation time. May take orders from customers and serve patrons at counters or tables.,,mathematics (2.00) | computers and electronics (1.86) | telecommunications (1.41) | engineering and technology (1.28),aldelo systems aldelo for restaurants pro | foodman home-delivery | inventory control software | plexis software plexis pos | point of sale pos software | restaurantplus pro
35-2019.00,"Cooks, All Other",All cooks not listed separately.,,,
35-2021.00,Food Preparation Workers,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea.",,mathematics (1.57) | computers and electronics (1.47) | telecommunications (1.45) | engineering and technology (1.33),microsoft excel | barrington software cookenpro commercial | cbord foodservice suite | cbord netrecipe | culinary software services cheftec | egs calcmenu | ipro | master cook deluxe professional cook | mealmaster cookbook wizard | microblast recipe wizard for windows | quizlet | recipe software | valusoft mastercook | youtube
35-3011.00,Bartenders,"Mix and serve drinks to patrons, directly or through waitstaff.",,mathematics (2.96) | computers and electronics (2.35) | telecommunications (2.10) | engineering and technology (1.71),facebook | azz cardfile | compris software | focus point of sale pos software | intuit quickbooks point of sale | micros systems hsi profits series | ncr advanced checkout solution | ncr neighborhoodpos | point of sale pos software | the general store | web browser software
35-3023.00,Fast Food and Counter Workers,Perform duties such as taking orders and serving food and beverages. Serve customers at counter or from a steam table. May take payment. May prepare food and beverages.,,mathematics (3.04) | computers and electronics (2.70) | engineering and technology (1.90) | telecommunications (1.80),facebook | microsoft excel | microsoft windows | aldelo systems aldelo for restaurants pro | compris software | foodman home-delivery | intuit quickbooks point of sale | menu and nutrition database software | micros systems hsi profits series | ncr advanced checkout solution | ncr neighborhoodpos | plexis software plexis pos | point of sale pos software | quizlet | restaurantplus pro
35-3023.01,Baristas,Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.,,mathematics (2.53) | computers and electronics (2.43) | telecommunications (1.98) | engineering and technology (1.52),microsoft excel | accounting software | point of sale pos software
35-3031.00,Waiters and Waitresses,Take orders and serve food and beverages to patrons at tables in dining establishment.,,mathematics (2.61) | computers and electronics (2.38) | telecommunications (2.27) | engineering and technology (1.64),facebook | blink | compris advanced manager s workstation | compris software | hospitality control solutions aloha point-of-sale | intuit quickbooks point of sale | micros systems hsi profits series | ncr advanced checkout solution | ncr neighborhoodpos | point of sale pos software | the general store
35-3041.00,"Food Servers, Nonrestaurant","Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.",,mathematics (2.76) | computers and electronics (2.33) | telecommunications (2.26) | engineering and technology (1.76),facebook | microsoft windows | capital codeworks menumax | cbord nutrition service suite | picis caresuite | point of sale pos software
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,"Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons.",,computers and electronics (2.01) | mathematics (1.81) | telecommunications (1.40) | engineering and technology (1.15),facebook | microsoft excel | microsoft windows | cafe cartel systems | plexis software plexis pos | restaurantplus pro
35-9021.00,Dishwashers,"Clean dishes, kitchen, food preparation equipment, or utensils.",,mathematics (1.68) | telecommunications (1.42) | engineering and technology (1.22) | computers and electronics (1.21),facebook | microsoft windows
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service.",,computers and electronics (2.44) | mathematics (2.25) | telecommunications (1.89) | engineering and technology (1.27),facebook | microsoft excel | microsoft windows | avenista table reservations | guestbridge reserve | hospitality control solutions aloha point-of-sale | imagic restaurant reservation | opentable | point of sale pos software | reservation software
35-9099.00,"Food Preparation and Serving Related Workers, All Other",All food preparation and serving related workers not listed separately.,,,
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments.",,mathematics (2.51) | computers and electronics (2.38) | engineering and technology (2.20) | telecommunications (1.87),microsoft excel | facebook | microsoft access | microsoft project | sap software | computerized bed control system software | computerized maintenance management system cmms | email software | facility use software | help desk software | inventory tracking software | operating system software | word processing software
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Directly supervise and coordinate activities of workers engaged in landscaping or groundskeeping activities. Work may involve reviewing contracts to ascertain service, machine, and workforce requirements; answering inquiries from potential customers regarding methods, material, and price ranges; and preparing estimates according to labor, material, and machine costs.",,mathematics (3.71) | computers and electronics (2.99) | engineering and technology (2.69) | telecommunications (2.20),facebook | microsoft excel | inventory management software | payroll software | work order software
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.",,telecommunications (2.20) | computers and electronics (1.62) | mathematics (1.61) | engineering and technology (1.35),microsoft excel | eko | operating system software | squeegee
37-2012.00,Maids and Housekeeping Cleaners,"Perform any combination of light cleaning duties to maintain private households or commercial establishments, such as hotels and hospitals, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.",,telecommunications (2.03) | computers and electronics (2.01) | mathematics (1.85) | engineering and technology (1.57),facebook | microsoft excel | microsoft windows | blink | computerized bed control system software | computerized maintenance management system cmms | eko | email software | inventory tracking software
37-2019.00,"Building Cleaning Workers, All Other",All building cleaning workers not listed separately.,,,
37-2021.00,Pest Control Workers,Apply or release chemical solutions or toxic gases and set traps to kill or remove pests and vermin that infest buildings and surrounding areas.,,mathematics (2.55) | computers and electronics (1.97) | engineering and technology (1.74) | telecommunications (1.65),intuit quickbooks | microsoft excel | microsoft sharepoint | database software | email software | marathon data systems pestpac | report writing software | supply inventory software | work scheduling software | youtube
37-3011.00,Landscaping and Groundskeeping Workers,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units.",,mathematics (2.52) | computers and electronics (2.03) | engineering and technology (2.03) | telecommunications (1.45),facebook | microsoft excel | microsoft windows | ibm notes
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Mix or apply pesticides, herbicides, fungicides, or insecticides through sprays, dusts, vapors, soil incorporation, or chemical application on trees, shrubs, lawns, or crops. Usually requires specific training and state or federal certification.",,mathematics (3.10) | computers and electronics (2.37) | telecommunications (2.27) | engineering and technology (2.15),facebook | google android | microsoft excel | customer database software | geographic information system gis systems | materials inventory software | rate calculation software | unit conversion software
37-3013.00,Tree Trimmers and Pruners,"Using sophisticated climbing and rigging techniques, cut away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree. Prune or treat trees or shrubs using handsaws, hand pruners, clippers, and power pruners. Works off the ground in the tree canopy and may use truck-mounted lifts.",,mathematics (2.26) | engineering and technology (1.90) | computers and electronics (1.58) | telecommunications (1.49),facebook | microsoft excel
37-3019.00,"Grounds Maintenance Workers, All Other",All grounds maintenance workers not listed separately.,,,
39-1013.00,First-Line Supervisors of Gambling Services Workers,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos.",,mathematics (3.86) | computers and electronics (3.70) | engineering and technology (2.50) | telecommunications (1.95),microsoft excel | microsoft access | microsoft project | corel wordperfect office suite | operating system software
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Directly supervise and coordinate activities of entertainment and recreation related workers.,,,microsoft excel | inventory management systems | point of sale pos software | timekeeping software | web browser software | work scheduling software
39-1022.00,First-Line Supervisors of Personal Service Workers,Supervise and coordinate activities of personal service workers.,,computers and electronics (3.41) | mathematics (2.58) | telecommunications (1.96) | engineering and technology (1.91),microsoft excel | inventory management systems | point of sale pos software | timekeeping software | web browser software | work scheduling software
39-2011.00,Animal Trainers,"Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.",,computers and electronics (2.40) | mathematics (2.15) | engineering and technology (1.81) | telecommunications (1.68),atlassian jira | epic systems | facebook | microsoft excel | microsoft project | microsoft windows | oracle database | oracle peoplesoft | sap software | customer information control system cics | database software | tracks software | work scheduling software
39-2021.00,Animal Caretakers,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets and other animals that are not raised for consumption, such as dogs, cats, race horses, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks.",,mathematics (2.45) | computers and electronics (2.25) | telecommunications (1.73) | engineering and technology (1.59),microsoft access | microsoft excel | ceejs the pet groomer s secretary | daysmart software 123pet | daysmart software appointment-plus | envision pet grooming | groom pro | groomsoft | k9 bytes k9 koordinator | kennel link | mobile dog grooming software mgroomer | petschedule | the groomer s write hand
39-3011.00,Gambling Dealers,"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.",,mathematics (3.86) | computers and electronics (2.18) | telecommunications (1.63) | engineering and technology (1.21),apache hadoop | apache spark | microsoft excel | slack | email software
39-3012.00,Gambling and Sports Book Writers and Runners,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers.",,mathematics (3.92) | computers and electronics (2.58) | telecommunications (1.74) | engineering and technology (1.50),microsoft excel | microsoft windows | credit card processing software | web browser software
39-3019.00,"Gambling Service Workers, All Other",All gambling service workers not listed separately.,,,
39-3021.00,Motion Picture Projectionists,Set up and operate motion picture projection and related sound reproduction equipment.,,computers and electronics (4.06) | engineering and technology (2.49) | mathematics (2.41) | telecommunications (2.23),apple macos | autodesk autocad | facebook | microsoft excel | audio calibration software | avid technology inews | enterprise resource planning erp software | web browser software
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers","Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones.",,computers and electronics (2.47) | mathematics (2.32) | telecommunications (1.96) | engineering and technology (1.56),microsoft excel | microsoft windows mobile | ticket alternative express entry | ticket scanning software
39-3091.00,Amusement and Recreation Attendants,"Perform a variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides.",,computers and electronics (2.67) | mathematics (2.45) | engineering and technology (1.55) | telecommunications (1.31),facebook | microsoft excel | microsoft windows | adobe pagemaker | calendar and scheduling software | database software | microsoft internet explorer
39-3092.00,Costume Attendants,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances.",,mathematics (2.76) | engineering and technology (2.42) | computers and electronics (2.23) | telecommunications (1.90),microsoft excel | database software | garment tracking software | web browser software
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants","Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms.",,mathematics (2.13) | telecommunications (2.11) | computers and electronics (1.73) | engineering and technology (1.32),facebook | microsoft excel | ibm lotus 1-2-3 | intellitrack dms check in-out | inventory tracking software | sportsoft equipment manager | web browser software
39-3099.00,"Entertainment Attendants and Related Workers, All Other",All entertainment attendants and related workers not listed separately.,,,
39-4011.00,Embalmers,Prepare bodies for interment in conformity with legal requirements.,,computers and electronics (2.85) | mathematics (2.51) | telecommunications (2.24) | engineering and technology (2.02),microsoft excel | belmar and associates mortware | corel wordperfect office suite | custom data systems sterling management software | fpa software maccs | hmis advantage | twin tier technologies mims | web browser software
39-4012.00,Crematory Operators,"Operate crematory equipment to reduce human or animal remains to bone fragments in accordance with state and local regulations. Duties may include preparing the body for cremation and performing general maintenance on crematory equipment. May use traditional flame-based cremation, calcination, or alkaline hydrolysis.",,,microsoft excel | belmar and associates mortware | hmis advantage
39-4021.00,Funeral Attendants,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment.",,computers and electronics (2.89) | mathematics (2.45) | telecommunications (2.29) | engineering and technology (1.76),microsoft excel | bookkeeping software | icims talent cloud software
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers","Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.",,computers and electronics (3.19) | mathematics (2.84) | telecommunications (2.22) | engineering and technology (1.89),microsoft access | microsoft excel | salesforce software | belmar and associates mortware | corel wordperfect office suite | custom data systems sterling management software | fpa software maccs | funeralkiosk | hmis advantage | icims talent cloud software | twin tier technologies mims | web browser software
39-5011.00,Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves.",,mathematics (2.82) | computers and electronics (2.17) | telecommunications (1.86) | engineering and technology (1.61),facebook | linux | microsoft excel | microsoft windows | appointment scheduling software | customer information databases | point of sale pos payment software | youtube
