onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
15-1255.00,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",,,adobe creative cloud software | adobe illustrator | adobe photoshop | cascading style sheets css | figma | google angular | hypertext markup language html | javascript | react | adobe acrobat | adobe after effects | adobe indesign | ajax | amazon dynamodb | amazon elastic compute cloud ec2
15-1255.01,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",,computers and electronics (4.15) | mathematics (3.30) | engineering and technology (2.80) | telecommunications (2.05),adobe photoshop | c# | c++ | python | adobe after effects | adobe creative cloud software | adobe illustrator | atlassian jira | c | extensible markup language xml | git | hypertext markup language html | javascript | linux | microsoft excel
15-1299.00,"Computer Occupations, All Other",All computer occupations not listed separately.,,,
15-1299.01,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",,computers and electronics (4.15) | engineering and technology (3.20) | telecommunications (2.70) | mathematics (2.65),adobe photoshop | cascading style sheets css | google analytics | hypertext markup language html | javascript | microsoft access | microsoft active directory | microsoft excel | microsoft sharepoint | microsoft sql server | oracle java | php | structured query language sql | wordpress | adobe acrobat
15-1299.02,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",,computers and electronics (4.48) | mathematics (3.88) | engineering and technology (3.10) | telecommunications (1.96),autodesk autocad | esri arcgis software | javascript | microsoft access | microsoft excel | python | structured query language sql | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe photoshop | amazon web services aws software | apple ios | atlassian jira
15-1299.03,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",,computers and electronics (3.80) | mathematics (2.75) | engineering and technology (2.50) | telecommunications (1.95),microsoft excel | microsoft sharepoint | adobe acrobat | adobe indesign | adobe photoshop | apache tomcat | autodesk autocad | dassault systemes solidworks | extensible markup language xml | google analytics | hypertext markup language html | ibm db2 | ibm websphere mq | linux | microsoft access
15-1299.04,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,,,amazon web services aws software | bash | c | c# | c++ | javascript | linux | microsoft azure software | microsoft powershell | oracle java | python | splunk enterprise | structured query language sql | unix | ansible software
15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",data_science,computers and electronics (4.63) | engineering and technology (4.00) | telecommunications (3.37) | mathematics (2.84),amazon web services aws software | bash | ibm terraform | kubernetes | linux | microsoft active directory | microsoft azure software | microsoft powershell | oracle java | python | splunk enterprise | amazon web services aws cloudformation | ansible software | apple ios | apple macos
15-1299.06,Digital Forensics Analysts,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",,,amazon web services aws software | linux | microsoft azure software | microsoft powershell | python | splunk enterprise | structured query language sql | ansible software | apple ios | apple macos | bash | border gateway protocol bgp | c | c# | c++
15-1299.07,Blockchain Engineers,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",,,amazon web services aws software | c | c++ | docker | git | go | javascript | kubernetes | mysql | node js | oracle java | python | react | structured query language sql | typescript
