import time: self [us] | cumulative | imported package
import time:       167 |        167 |                   _osx_support
import time:      1079 |       1584 |                 zoneinfo._tzpath
import time:       308 |        308 |                 zoneinfo._common
import time:       648 |        648 |                 _zoneinfo
import time:       191 |       2730 |               zoneinfo
import time:       265 |        265 |               pydantic.annotated_handlers
import time:      2447 |       2447 |               pydantic.functional_validators
import time:       369 |        369 |                 pydantic._internal._core_metadata
import time:       263 |        263 |                 pydantic._internal._schema_generation_shared
import time:      1482 |       2113 |               pydantic.json_schema
import time:       351 |        351 |               pydantic._internal._discriminated_union
import time:       339 |        339 |               pydantic._internal._known_annotated_metadata
import time:      1971 |       1971 |               pydantic._internal._schema_gather
import time:      1029 |      13671 |             pydantic._internal._generate_schema
import time:       332 |        332 |             pydantic._internal._signature
import time:      1060 |      15062 |           pydantic._internal._model_construction
import time:       533 |        533 |             http
import time:       429 |        962 |           starlette.exceptions
import time:      4220 |       4220 |             annotated_types
import time:       411 |        411 |             pydantic._internal._validators
import time:      4068 |       4068 |             pydantic.types
import time:      1528 |      10226 |           pydantic.fields
import time:       103 |        103 |                   importlib._abc
import time:       114 |        216 |                 importlib.util
import time:       163 |        163 |                   zipfile._path.glob
import time:       270 |        433 |                 zipfile._path
import time:       588 |       1236 |               zipfile
import time:       203 |        203 |               importlib.metadata._meta
import time:       172 |        172 |               importlib.metadata._collections
import time:        78 |         78 |               importlib.metadata._functools
import time:        71 |         71 |               importlib.metadata._itertools
import time:       223 |        223 |               importlib.abc
import time:       748 |       2728 |             importlib.metadata
import time:       396 |       3123 |           pydantic.plugin._loader
import time:     14373 |      71930 |         fastapi.exceptions
import time:      1060 |       1060 |           fastapi.openapi
import time:       311 |        311 |               fastapi.types
import time:       158 |        158 |                 shlex
import time:       306 |        306 |                 starlette.concurrency
import time:       222 |        222 |                 starlette.types
import time:       748 |       1433 |               starlette.datastructures
import time:       332 |       2075 |             fastapi._compat.shared
import time:       207 |        207 |               fastapi.openapi.constants
import time:      1182 |       1389 |             fastapi._compat.v2
import time:       151 |       3614 |           fastapi._compat
import time:       144 |        144 |           fastapi.logger
import time:        58 |         58 |           email_validator
import time:     43632 |      48505 |         fastapi.openapi.models
import time:      1683 |     122117 |       fastapi.params
import time:       779 |        779 |       fastapi.datastructures
import time:       580 |        580 |         fastapi.dependencies
import time:       225 |        225 |               fastapi.security.base
import time:       994 |        994 |                 http.cookies
import time:       447 |        447 |                 starlette._utils
import time:        64 |         64 |                   python_multipart
import time:        62 |         62 |                   multipart
import time:       973 |       1099 |                 starlette.formparsers
import time:        58 |         58 |                   python_multipart
