import time: self [us] | cumulative | imported package
import time:       980 |        980 |                   _uuid
import time:       813 |       1793 |                 uuid
import time:      2768 |       2768 |                     sysconfig
import time:       407 |        407 |                     _osx_support
import time:      3835 |       7009 |                   zoneinfo._tzpath
import time:       356 |        356 |                   zoneinfo._common
import time:       812 |        812 |                   _zoneinfo
import time:       470 |       8646 |                 zoneinfo
import time:       308 |        308 |                 pydantic.annotated_handlers
import time:      2971 |       2971 |                 pydantic.functional_validators
import time:       419 |        419 |                   pydantic._internal._core_metadata
import time:       320 |        320 |                   pydantic._internal._schema_generation_shared
import time:      3264 |       4002 |                 pydantic.json_schema
import time:      2045 |       2045 |                 pydantic._internal._discriminated_union
import time:      1231 |       1231 |                 pydantic._internal._known_annotated_metadata
import time:       943 |        943 |                 pydantic._internal._schema_gather
import time:      1432 |      25192 |               pydantic._internal._generate_schema
import time:       435 |        435 |               pydantic._internal._signature
import time:      1288 |      26914 |             pydantic._internal._model_construction
import time:       815 |        815 |               http
import time:       792 |       1607 |             starlette.exceptions
import time:     55325 |      55325 |               annotated_types
import time:       864 |        864 |               pydantic._internal._validators
import time:      4500 |       4500 |               pydantic.types
import time:      8123 |      68811 |             pydantic.fields
import time:       750 |        750 |                     importlib._abc
import time:       492 |       1241 |                   importlib.util
import time:       355 |        355 |                     zipfile._path.glob
import time:       896 |       1251 |                   zipfile._path
import time:      2279 |       4770 |                 zipfile
import time:       458 |        458 |                 importlib.metadata._meta
import time:       432 |        432 |                 importlib.metadata._collections
import time:       319 |        319 |                 importlib.metadata._functools
import time:      1084 |       1084 |                 importlib.metadata._itertools
import time:       476 |        476 |                 importlib.abc
import time:      1701 |       9236 |               importlib.metadata
import time:       894 |      10130 |             pydantic.plugin._loader
import time:     13368 |     147813 |           fastapi.exceptions
import time:      1915 |       1915 |             fastapi.openapi
import time:       345 |        345 |                 fastapi.types
import time:       480 |        480 |                   shlex
import time:       290 |        290 |                   starlette.concurrency
import time:       263 |        263 |                   starlette.types
import time:      1086 |       2117 |                 starlette.datastructures
import time:      2438 |       4900 |               fastapi._compat.shared
import time:       280 |        280 |                 fastapi.openapi.constants
import time:      3095 |       3374 |               fastapi._compat.v2
import time:       408 |       8682 |             fastapi._compat
import time:       650 |        650 |             fastapi.logger
import time:       166 |        166 |             email_validator
import time:     46065 |      57476 |           fastapi.openapi.models
import time:      1540 |     206828 |         fastapi.params
import time:      1088 |       1088 |         fastapi.datastructures
import time:       255 |        255 |           fastapi.dependencies
import time:       193 |        193 |                 fastapi.security.base
import time:      1018 |       1018 |                   http.cookies
import time:       390 |        390 |                   starlette._utils
import time:        70 |         70 |                     python_multipart
import time:        51 |         51 |                     multipart
import time:       772 |        891 |                   starlette.formparsers
import time:        51 |         51 |                     python_multipart
import time:        15 |         65 |                   python_multipart.multipart
import time:        43 |         43 |                     multipart
import time:        12 |         55 |                   multipart.multipart
import time:       635 |       3052 |                 starlette.requests
import time:       378 |       3622 |               fastapi.security.api_key
import time:       191 |        191 |                 fastapi.security.utils
import time:       876 |       1067 |               fastapi.security.http
import time:       317 |        317 |                 fastapi.param_functions
import time:       393 |        710 |               fastapi.security.oauth2
import time:       218 |        218 |               fastapi.security.open_id_connect_url
import time:       490 |       6105 |             fastapi.security
import time:        16 |       6120 |           fastapi.security.base
import time:      1151 |       7525 |         fastapi.dependencies.models
import time:       198 |        198 |             starlette.background
import time:       195 |        392 |           fastapi.background
import time:       181 |        181 |           fastapi.concurrency
import time:       223 |        223 |           fastapi.utils
import time:      3781 |       3781 |               _hashlib
import time:       698 |        698 |               _blake2
import time:       315 |       4793 |             hashlib
import time:        54 |         54 |               _winapi
import time:        45 |         45 |               winreg
import time:       430 |        527 |             mimetypes
import time:       754 |        754 |                 _hmac
import time:       316 |       1070 |               hmac
import time:       258 |       1327 |             secrets
import time:       436 |       7082 |           starlette.responses
import time:       423 |        423 |           starlette.websockets
import time:       974 |       9272 |         fastapi.dependencies.utils
import time:       265 |        265 |             colorsys
import time:       899 |       1163 |           pydantic.color
import time:       374 |       1537 |         fastapi.encoders
import time:      1078 |       1078 |         fastapi.sse
import time:       247 |        247 |           starlette._exception_handler
import time:       349 |        349 |           starlette.convertors
import time:       295 |        295 |           starlette.middleware
import time:       759 |       1649 |         starlette.routing
import time:       913 |     307290 |       fastapi.routing
import time:       194 |        194 |         fastapi.websockets
import time:       296 |        490 |       fastapi.exception_handlers
import time:       194 |        194 |         fastapi.middleware
import time:       250 |        443 |       fastapi.middleware.asyncexitstack
import time:       220 |        220 |       fastapi.openapi.docs
import time:       496 |        496 |             email.feedparser
import time:       227 |        722 |           email.parser
import time:       725 |       1447 |         http.client
import time:        54 |         54 |           ujson
import time:        44 |         44 |           orjson
import time:       303 |        399 |         fastapi.responses
import time:       345 |       2191 |       fastapi.openapi.utils
import time:       394 |        394 |         starlette.middleware.base
import time:       916 |        916 |             html.entities
import time:       404 |       1319 |           html
import time:       640 |       1958 |         starlette.middleware.errors
import time:       261 |        261 |         starlette.middleware.exceptions
import time:       337 |       2949 |       starlette.applications
import time:       957 |     318361 |     fastapi.applications
import time:       209 |        209 |     fastapi.requests
import time:       344 |     320612 |   fastapi
import time:       173 |        173 |   src.app.ui_shell
import time:       369 |        369 |           pydantic.v1.typing
import time:      1183 |       1552 |         pydantic.v1.errors
import time:        53 |         53 |             cython
import time:       215 |        268 |           pydantic.v1.version
import time:       478 |        746 |         pydantic.v1.utils
import time:       303 |       2600 |       pydantic.v1.class_validators
import time:       571 |        571 |       pydantic.v1.config
import time:       500 |        500 |           pydantic.v1.color
import time:       809 |        809 |               pydantic.v1.datetime_parse
import time:       460 |       1268 |             pydantic.v1.validators
import time:       700 |       1968 |           pydantic.v1.networks
import time:      1067 |       1067 |           pydantic.v1.types
import time:       284 |       3818 |         pydantic.v1.json
import time:       327 |       4144 |       pydantic.v1.error_wrappers
import time:       552 |        552 |       pydantic.v1.fields
import time:       322 |        322 |             _compat_pickle
import time:       887 |        887 |             _pickle
import time:       676 |       1884 |           pickle
import time:       279 |       2163 |         pydantic.v1.parse
import time:       536 |        536 |         pydantic.v1.schema
import time:       701 |       3398 |       pydantic.v1.main
import time:       430 |      11693 |     pydantic.v1.dataclasses
import time:       235 |        235 |     pydantic.v1.annotated_types
import time:       290 |        290 |     pydantic.v1.decorator
import time:       492 |        492 |     pydantic.v1.env_settings
import time:       287 |        287 |     pydantic.v1.tools
import time:       307 |      13302 |   pydantic.v1
import time:       803 |     335695 | src.app.ui
