import time: self [us] | cumulative | imported package
import time:      1823 |       1823 |                 typing_inspection.typing_objects
import time:      1294 |       3573 |               typing_inspection.introspection
import time:       489 |        489 |               pydantic._internal
import time:       674 |        674 |                   pydantic._internal._namespace_utils
import time:       962 |       1635 |                 pydantic._internal._typing_extra
import time:       708 |       2342 |               pydantic._internal._repr
import time:       835 |       7238 |             pydantic.errors
import time:       837 |      47700 |           pydantic
import time:      1515 |       1515 |               pydantic._internal._internal_dataclass
import time:      4189 |       5704 |             pydantic.aliases
import time:      2745 |       2745 |             pydantic.config
import time:      1448 |       9896 |           pydantic._internal._config
import time:       703 |        703 |             pydantic._internal._core_utils
import time:       457 |        457 |               pydantic._internal._import_utils
import time:      1424 |       1880 |             pydantic._internal._utils
import time:      4035 |       6618 |           pydantic._internal._decorators
import time:   1291399 |    1291399 |               pydantic._internal._forward_ref
import time:   1110315 |    2401713 |             pydantic._internal._generics
import time:    991813 |     991813 |             pydantic._internal._docs_extraction
import time:   1020563 |    4414089 |           pydantic._internal._fields
import time:      1699 |       1699 |               pydantic.plugin
import time:       855 |       2554 |             pydantic.plugin._schema_validator
import time:      1173 |       3726 |           pydantic._internal._mock_val_ser
import time:      3753 |       3753 |               fractions
import time:       606 |        606 |                   sysconfig
import time:       307 |        307 |                   _osx_support
import time:      2013 |       2924 |                 zoneinfo._tzpath
import time:       516 |        516 |                 zoneinfo._common
import time:      2529 |       2529 |                 _zoneinfo
import time:       367 |       6334 |               zoneinfo
import time:       443 |        443 |               pydantic.annotated_handlers
import time:   1472001 |    1472001 |               pydantic.functional_validators
import time:      1402 |       1402 |                 pydantic._internal._core_metadata
import time:       686 |        686 |                 pydantic._internal._schema_generation_shared
import time:      4891 |       6978 |               pydantic.json_schema
import time:   1447483 |    1447483 |               pydantic._internal._discriminated_union
import time:   1158899 |    1158899 |               pydantic._internal._known_annotated_metadata
import time:    805396 |     805396 |               pydantic._internal._schema_gather
import time:   1077482 |    5978766 |             pydantic._internal._generate_schema
import time:    896179 |     896179 |             pydantic._internal._signature
import time:   1094970 |    7969913 |           pydantic._internal._model_construction
import time:   1432168 |    1432168 |           starlette.exceptions
import time:    929800 |     929800 |             annotated_types
import time:    836240 |     836240 |             pydantic._internal._validators
import time:   1269337 |    1269337 |             pydantic.types
import time:   1173080 |    4208454 |           pydantic.fields
import time:   1125553 |    1125553 |           pydantic.plugin._loader
