term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,promotable,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
hypothesis testing,4,' hypothesis testing',True,False,False,False,False,False,False,
ibm,4,' ibm',False,False,False,False,False,False,False,
keras,4,' keras',False,False,False,False,False,False,False,
mapreduce,4,' mapreduce',False,False,False,False,False,False,False,
marketing,4,' marketing' | 'marketing',False,False,False,False,False,False,False,
marketing analytics,4,['marketing analytics' | marketing/advertising analytics | full funnel analytics - marketing analytics,False,False,False,False,False,False,False,
model building,4,' model building',False,False,False,False,False,False,False,
model diagnostics,4,statistical diagnostics of models,False,False,False,False,False,False,False,
ms office,4,' ms office',False,False,False,False,False,False,False,
olap,4,' olap',False,False,False,False,False,False,False,
recruiter,4,' recruiter',False,False,False,False,False,False,False,
regressions,4,' regressions',False,False,False,False,False,False,False,
rest,4,' rest',False,False,False,False,False,False,False,
risk management,4,' risk management'] | ' risk management',False,False,False,False,False,False,False,
solr,4,' solr'] | ' solr',False,False,False,False,False,False,False,
statistical diagnostics,4,statistical diagnostics of models,False,False,False,False,False,False,False,
statistical regression,4,' statistical regression',False,False,False,True,False,True,False,
supervision,4,' supervision'] | ' supervision',False,False,False,False,False,False,False,
analytical,3,' analytical',False,False,False,False,False,False,False,
applied research,3,' applied research' | ['applied research',False,False,False,False,False,False,False,
automation,3,' automation' | ' automation'] | automation - machine learning,False,False,False,False,False,False,False,
bi,3,['bi' | ' bi'] | bi engineer/data scientist,False,False,False,False,False,False,False,
bigdata,3,' bigdata' | 'bigdata'],False,False,False,False,False,False,False,
biostatistics,3,' biostatistics'] | ['biostatistics' | biostatistics - r,False,False,False,False,False,False,False,
c,3,c/c++ | c/c++ - data scientist | data scientist machine learning statistics r python c java scala,False,False,False,False,False,False,False,
critical thinking,3,' critical thinking' | ' critical thinking ',False,False,False,False,False,False,False,
data engineer,3,' data engineer',False,False,False,False,False,False,False,
data engineering,3,'data engineering' | ' data engineering',False,False,False,False,False,False,False,
datarobot,3,datarobot | ' datarobot' | datarobot for quick implementation of ai/ml,False,False,False,False,False,False,False,
db2,3,' db2' | ibm db2 and sql server,False,False,False,False,False,False,False,
elasticsearch,3,' elasticsearch'] | ' elasticsearch',False,False,False,False,False,False,False,
gis,3,' gis',False,False,False,False,False,False,False,
go,3,' go'] | ' go',False,False,False,False,False,False,False,
golang,3,' golang' | ' golang'] | golang - spark,False,False,False,False,False,False,False,
hdfs,3,' hdfs' | hdfs/ hive/ impala,False,False,False,False,False,False,False,
image processing,3,' image processing' | ' image processing'],False,False,False,False,False,False,False,
informatica,3,' informatica' | ' informatica'] | big data management tools i e informatica bdm/idl/eic/idq,False,False,False,False,False,False,False,
information retrieval,3,' information retrieval',False,False,False,False,False,False,False,
it,3,' it',False,False,False,False,False,False,False,
node js,3,' node.js',False,False,False,False,False,False,False,
predictive model,3,' predictive model'] | ' predictive model',False,False,False,False,False,False,False,
rails,3,soap - ruby on rails | ruby on rails / ror / ruby / rails | soap - ruby on rails / ror / ruby / rails,False,False,False,False,False,False,False,
random forest,3,random forest | ' random forests' | ' random forest',True,True,False,False,False,False,False,classical_ml_methods
reporting,3,'reporting ' | data visualizations and reporting,False,False,False,False,False,False,False,
sap,3,' sap',False,False,False,False,False,False,False,
scikit,3,' scikit',False,False,False,False,False,False,False,
slq,3,' slq' | ' slq'],False,False,False,False,False,False,False,
tdd,3,' tdd',False,False,False,False,False,False,False,
vba,3,' vba'] | ' vba',False,False,False,False,False,False,False,
wireless,3,' wireless'],False,False,False,False,False,False,False,
access,2,['access',False,False,False,False,False,False,False,
